Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Critica_Profesional,Critica_Usuario,Tiene_Rating,Global_Sales_norm
LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.37,0.49,0.0,0.19,1.05,82.0,16.0,8.3,85.0,E10+,Sí,Sí,Sí,1.0
EA Sports UFC,PS4,2014.0,Sports,Electronic Arts,0.46,0.41,0.01,0.18,1.05,70.0,57.0,6.1,280.0,T,Sí,Sí,Sí,1.0
Sega Superstars Tennis,Wii,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,1.05,71.0,24.0,6.8,17.0,E10+,Sí,Sí,Sí,1.0
DiRT,PS3,2007.0,Racing,Codemasters,0.16,0.66,0.0,0.23,1.05,83.0,32.0,8.0,33.0,E,Sí,Sí,Sí,1.0
Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.95,0.01,0.01,0.08,1.05,75.0,22.0,6.9,36.0,T,Sí,Sí,Sí,1.0
Cosmic Ark,2600,1981.0,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05,,,,,,No,No,No,1.0
Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,Capcom,0.46,0.31,0.2,0.09,1.05,75.0,55.0,8.0,60.0,M,Sí,Sí,Sí,1.0
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,81.0,31.0,9.0,36.0,T,Sí,Sí,Sí,1.0
Dora the Explorer: Dora Saves the Mermaids,DS,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.07,1.05,44.0,5.0,2.5,4.0,E,Sí,Sí,Sí,1.0
Defender,2600,1980.0,Misc,Atari,0.99,0.05,0.0,0.01,1.05,,,,,,No,No,No,1.0
Arc the Lad II,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.92,0.13,1.05,,,,,,No,No,No,1.0
Derby Stallion 96,SNES,1996.0,Sports,ASCII Entertainment,0.0,0.0,1.04,0.01,1.05,,,,,,No,No,No,1.0
Adventure Island,NES,1986.0,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,,,,,,No,No,No,1.0
Tag Team Match M.U.S.C.L.E.,NES,1985.0,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05,,,,,,No,No,No,1.0
NBA 2K3,PS2,2002.0,Sports,Sega,0.51,0.4,0.0,0.13,1.05,89.0,21.0,8.0,22.0,E,Sí,Sí,Sí,1.0
The Simpsons: Road Rage,X,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05,61.0,17.0,8.3,6.0,T,Sí,Sí,Sí,1.0
Dave Mirra Freestyle BMX,PS,2000.0,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05,82.0,14.0,8.4,5.0,E,Sí,Sí,Sí,1.0
Forza Motorsport,X,2005.0,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05,92.0,73.0,7.6,214.0,E,Sí,Sí,Sí,1.0
Virtua Tennis 3,PS3,2007.0,Sports,Sega,0.23,0.58,0.03,0.21,1.05,80.0,35.0,7.9,32.0,E,Sí,Sí,Sí,1.0
Monster Rancher 2,PS,1998.0,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05,83.0,6.0,,,E,Sí,No,Sí,1.0
Imagine: Animal Doctor,DS,2007.0,Simulation,Ubisoft,0.45,0.48,0.0,0.11,1.04,,,7.4,5.0,E,No,Sí,Sí,0.9903846153846154
MVP Baseball 2003,PS2,2003.0,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04,81.0,22.0,8.9,17.0,E,Sí,Sí,Sí,0.9903846153846154
Legacy of Kain: Soul Reaver,PS,1999.0,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,91.0,17.0,9.0,133.0,T,Sí,Sí,Sí,0.9903846153846154
WWE SmackDown vs. Raw 2010,X360,2009.0,Fighting,THQ,0.56,0.37,0.01,0.1,1.04,80.0,59.0,8.4,36.0,T,Sí,Sí,Sí,0.9903846153846154
Tales of Destiny,PS,1997.0,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.04,,,,,,No,No,No,0.9903846153846154
Sleeping Dogs,PS3,2012.0,Action,Square Enix,0.31,0.49,0.05,0.19,1.04,83.0,40.0,7.7,646.0,M,Sí,Sí,Sí,0.9903846153846154
ATV: Quad Power Racing,PS,2000.0,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04,42.0,9.0,,,E,Sí,No,Sí,0.9903846153846154
Mega Man X4,PS,1996.0,Action,Virgin Interactive,0.45,0.3,0.22,0.07,1.04,,,,,,No,No,No,0.9903846153846154
Naruto: Clash of Ninja 2,GC,2003.0,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04,74.0,22.0,8.9,39.0,T,Sí,Sí,Sí,0.9903846153846154
Dance Dance Revolution SuperNOVA,PS2,2006.0,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04,73.0,25.0,8.7,6.0,E10+,Sí,Sí,Sí,0.9903846153846154
Aliens vs Predator,PS3,2010.0,Shooter,Sega,0.41,0.46,0.0,0.18,1.04,65.0,57.0,7.3,169.0,M,Sí,Sí,Sí,0.9903846153846154
Jeremy McGrath Supercross 98,PS,1998.0,Racing,Acclaim Entertainment,0.91,0.1,0.0,0.03,1.04,,,,,,No,No,No,0.9903846153846154
Bomberman 64,N64,1997.0,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04,,,,,,No,No,No,0.9903846153846154
F-Zero: Maximum Velocity,GBA,2001.0,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,86.0,19.0,8.4,23.0,E,Sí,Sí,Sí,0.9903846153846154
Sonic the Hedgehog,X360,2006.0,Platform,Sega,0.44,0.48,0.0,0.11,1.04,46.0,38.0,4.4,458.0,E10+,Sí,Sí,Sí,0.9903846153846154
Sonic & Sega All-Stars Racing,DS,2010.0,Racing,Sega,0.43,0.5,0.0,0.11,1.04,,,,,,No,No,No,0.9903846153846154
Need for Speed: Most Wanted,X,2005.0,Racing,Electronic Arts,0.53,0.46,0.0,0.05,1.04,83.0,32.0,8.8,29.0,T,Sí,Sí,Sí,0.9903846153846154
Minecraft: Story Mode,X360,2015.0,Adventure,Mojang,0.58,0.36,0.0,0.09,1.04,,,,,,No,No,No,0.9903846153846154
The Simpsons Game,X360,2007.0,Action,Electronic Arts,0.54,0.39,0.0,0.11,1.04,71.0,52.0,7.7,73.0,T,Sí,Sí,Sí,0.9903846153846154
F1 2012,PS3,2012.0,Racing,Codemasters,0.12,0.63,0.05,0.23,1.04,81.0,23.0,7.5,55.0,E,Sí,Sí,Sí,0.9903846153846154
Brink,X360,2011.0,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.03,68.0,85.0,5.8,404.0,T,Sí,Sí,Sí,0.9807692307692307
MX vs. ATV Unleashed,PS2,2005.0,Racing,THQ,0.86,0.03,0.0,0.14,1.03,79.0,30.0,8.4,17.0,E,Sí,Sí,Sí,0.9807692307692307
Sonic Generations,3DS,2011.0,Platform,Sega,0.44,0.49,0.01,0.09,1.03,66.0,29.0,6.9,110.0,E,Sí,Sí,Sí,0.9807692307692307
WipEout Pure,PSP,2005.0,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.23,1.03,88.0,56.0,7.9,102.0,E,Sí,Sí,Sí,0.9807692307692307
UFC Undisputed 3,PS3,2012.0,Action,THQ,0.55,0.32,0.03,0.13,1.03,86.0,30.0,7.4,92.0,T,Sí,Sí,Sí,0.9807692307692307
LEGO Pirates of the Caribbean: The Video Game,X360,2011.0,Action,Disney Interactive Studios,0.54,0.39,0.0,0.09,1.03,73.0,54.0,7.0,31.0,E10+,Sí,Sí,Sí,0.9807692307692307
Tom Clancys Ghost Recon Advanced Warfighter 2,PS3,2007.0,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.03,84.0,29.0,8.1,41.0,T,Sí,Sí,Sí,0.9807692307692307
Super Princess Peach,DS,2005.0,Platform,Nintendo,0.7,0.05,0.21,0.07,1.03,75.0,48.0,7.6,33.0,E,Sí,Sí,Sí,0.9807692307692307
FIFA Soccer 08,Wii,2007.0,Sports,Electronic Arts,0.32,0.59,0.01,0.12,1.03,65.0,13.0,6.1,26.0,E,Sí,Sí,Sí,0.9807692307692307
Guinness World Records: The Videogame,Wii,2008.0,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.03,67.0,12.0,7.0,8.0,E10+,Sí,Sí,Sí,0.9807692307692307
MySims Agents,Wii,2009.0,Adventure,Electronic Arts,0.62,0.32,0.0,0.1,1.03,78.0,28.0,8.6,28.0,E,Sí,Sí,Sí,0.9807692307692307
NCAA March Madness 2004,PS2,2003.0,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.03,82.0,16.0,8.8,12.0,E,Sí,Sí,Sí,0.9807692307692307
LEGO Indiana Jones: The Original Adventures,PS3,2008.0,Action,Activision,0.44,0.42,0.0,0.17,1.03,77.0,36.0,7.7,30.0,E10+,Sí,Sí,Sí,0.9807692307692307
Bomberman,NES,1985.0,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03,,,,,,No,No,No,0.9807692307692307
Donkey Kong Land III,G,1997.0,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03,,,,,,No,No,No,0.9807692307692307
ZhuZhu Pets,DS,2010.0,Simulation,Activision,0.67,0.27,0.0,0.09,1.03,,,,,E,No,No,Sí,0.9807692307692307
Tomb Raider,PC,1996.0,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,86.0,18.0,8.5,3572.0,M,Sí,Sí,Sí,0.9807692307692307
Street Fighter Alpha 3,PS,1998.0,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,93.0,12.0,8.5,46.0,T,Sí,Sí,Sí,0.9807692307692307
Kirby: Planet Robobot,3DS,2016.0,Action,Nintendo,0.3,0.18,0.5,0.05,1.03,81.0,71.0,8.7,92.0,E,Sí,Sí,Sí,0.9807692307692307
Junior Brain Trainer,DS,2008.0,Misc,GSP,0.23,0.71,0.0,0.09,1.03,,,,,E,No,No,Sí,0.9807692307692307
MotorStorm: Arctic Edge,PSP,2009.0,Racing,Sony Computer Entertainment,0.16,0.57,0.0,0.29,1.02,79.0,58.0,8.8,39.0,T,Sí,Sí,Sí,0.9711538461538461
Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.65,0.28,0.0,0.1,1.02,61.0,11.0,6.0,5.0,E10+,Sí,Sí,Sí,0.9711538461538461
